artistName,msPlayed,areas
Electric Six,7117,United States
Electric Youth,283163,Canada
Electronic,141060,United Kingdom
Elton John,13971155,United Kingdom
Elvis Presley,1465754,United States
Emigrate,208379,United States
Emmanuel,331369,Mexico
Empire Of The Sun,11731123,Australia
Engel,269024,United Kingdom
Enslaved,5183319,Norway
Equilibrium,5817818,Germany
Eric Carmen,1613305,United States
Eric Johnson,5045422,United States
Etta James,375817,United States
Europe,16995253,Sweden
Eurythmics,8588180,United Kingdom
Exile,214404,Japan
Falco,232590,Austria
Fall Out Boy,3356729,United States
Fallujah,1387882,United States
Fear Of Domination,320000,Finland
Feargal Sharkey,221757,United Kingdom
Fight The Fade,316657,United States
Finger Eleven,208072,Canada
Finsterforst,1415961,Germany
Fiona Apple,307339,United States
Fleetwood Mac,13355111,United Kingdom
Fleshgod Apocalypse,40960927,Italy
Florence + The Machine,2780835,United Kingdom
Foals,2863061,United Kingdom
Focus,10971,Netherlands
Foo Fighters,6033058,United States
Foreigner,5147618,United States
Four Tops,301237,United States
Fractal Gates,492717,France
Frank Black,2028167,United States
Frank Sinatra,422874,United States
Frank Zappa,169061,United States
Franz Ferdinand,7484566,United Kingdom
Freak Power,3345112,United Kingdom
Galy Galiano,199721,Colombia
Gang of Youths,3924216,Australia
Garbage,3572855,United States
Gary Glitter,184858,United Kingdom
Gary Numan,6455394,United Kingdom
Gaz Coombes,3311810,United Kingdom
Gene Loves Jezebel,4575153,United Kingdom
Generation X,228053,United Kingdom
Genesis,10564733,United Kingdom
George Harrison,20816117,United Kingdom
George Michael,7941295,United Kingdom
George Strait,729338,United States
Gera MX,197314,Mexico
Gerard McMann,286097,United States
Ghinzu,257359,Belgium
Gianluca Grignani,617763,Italy
Gibson Brothers,10862523,France
Gizmo Varillas,335509,United Kingdom
Glass Animals,3686202,United Kingdom
Glen Campbell,554472,United States
Go West,4484922,United Kingdom
Godley & Creme,3792959,United Kingdom
Gogol Bordello,1153673,United States
Goldfrapp,204328,United Kingdom
Good Neighbours,1259941,United Kingdom
Goombay Dance Band,2959152,Germany
Gordon Lightfoot,213395,Canada
Gorillaz,893357,United Kingdom
Gotye,10539,Australia
Grace Slick,8988339,United States
Grai,1800,Russia
Greta Van Fleet,234612,United States
Grimes,2763975,Canada
Grupo Cañaveral De Humberto Pabón,947354,Mexico
Grupo Firme,189032,Mexico
Grupo Frontera,2066003,United States
Grupo Mojado,354114,Mexico
Guns N' Roses,537472,United States
HAIM,245767,United States
HIGHSOCIETY,393226,United States
Haircut 100,212593,United Kingdom
Hank Williams,759185,United States
Happy Mondays,318471,United Kingdom
Hard-Fi,203314,United Kingdom
Harry Nilsson,263341,United States
Hawkwind,3526981,United Kingdom
Heart,15725122,United States
Helloween,20983611,Germany
Herman's Hermits,174287,United Kingdom
Hollywood Vampires,158480,United States
Hombres G,194089,Spain
Hooverphonic,89490,Belgium
Hot Chip,78988,United Kingdom
Hot Hot Heat,212298,Canada
Howlin' Wolf,188404,United States
Hozier,493093,Ireland
INXS,9690525,Australia
Ian Brown,2255970,United Kingdom
Iced Earth,702893,United States
Iggy Pop,5129474,United States
Immortal,1610698,Norway
Insomnium,374038,Finland
Interpol,7671578,United States
Iron Maiden,9359297,United Kingdom
Israel Kamakawiwo'ole,308015,United States
Jake Bugg,1902993,United Kingdom
James Bay,1011556,United Kingdom
Jamiroquai,4081751,United Kingdom
Jan Hammer,4383780,United States
Jauria Santa,16795,Mexico
Javiielo,2038,Puerto Rico
Jax Jones,219602,United Kingdom
Jeff Beck,507961,United Kingdom
Jesse Green,4536578,Jamaica
Jet,213761,Australia
Jethro Tull,3680120,United Kingdom
Jim Croce,320437,United States
Jim Steinman,5958406,United States
Jimi Hendrix,4073680,United States
Joan Sebastian,783507,Mexico
Joe Jackson,788626,United Kingdom
John 5,3892634,United States
John Denver,578139,United States
John Farnham,129709,Australia
John Parr,255580,United Kingdom
John Waite,4024171,United Kingdom
Johnny Cash,4196065,United States
Johnny Nash,164728,United States
Jorge Negrete,237421,Mexico
Joseff Shields,164973,Unknown
José Alfredo Jimenez,316795,Mexico
José José,4583306,Mexico
José Luis Perales,495980,Spain
Journey,6964593,United States
Juan Gabriel,2850849,Mexico
Juanes,318655,Colombia
Judas Priest,7124401,United Kingdom
Juice Newton,912518,United States
